sentence,layer,token_position,experts_activated
The quick brown fox jumps over the lazy dog.,model.layers.0.mlp.deepspeed_moe.gate.wg,0,0
The quick brown fox jumps over the lazy dog.,model.layers.0.mlp.deepspeed_moe.gate.wg,1,0
The quick brown fox jumps over the lazy dog.,model.layers.0.mlp.deepspeed_moe.gate.wg,2,0
The quick brown fox jumps over the lazy dog.,model.layers.0.mlp.deepspeed_moe.gate.wg,3,0
The quick brown fox jumps over the lazy dog.,model.layers.0.mlp.deepspeed_moe.gate.wg,4,0
The quick brown fox jumps over the lazy dog.,model.layers.0.mlp.deepspeed_moe.gate.wg,5,0
The quick brown fox jumps over the lazy dog.,model.layers.0.mlp.deepspeed_moe.gate.wg,6,0
The quick brown fox jumps over the lazy dog.,model.layers.0.mlp.deepspeed_moe.gate.wg,7,0
The quick brown fox jumps over the lazy dog.,model.layers.0.mlp.deepspeed_moe.gate.wg,8,0
The quick brown fox jumps over the lazy dog.,model.layers.0.mlp.deepspeed_moe.gate.wg,9,0
The quick brown fox jumps over the lazy dog.,model.layers.10.mlp.deepspeed_moe.gate.wg,0,0
The quick brown fox jumps over the lazy dog.,model.layers.10.mlp.deepspeed_moe.gate.wg,1,0
The quick brown fox jumps over the lazy dog.,model.layers.10.mlp.deepspeed_moe.gate.wg,2,0
The quick brown fox jumps over the lazy dog.,model.layers.10.mlp.deepspeed_moe.gate.wg,3,0
The quick brown fox jumps over the lazy dog.,model.layers.10.mlp.deepspeed_moe.gate.wg,4,0
The quick brown fox jumps over the lazy dog.,model.layers.10.mlp.deepspeed_moe.gate.wg,5,0
The quick brown fox jumps over the lazy dog.,model.layers.10.mlp.deepspeed_moe.gate.wg,6,0
The quick brown fox jumps over the lazy dog.,model.layers.10.mlp.deepspeed_moe.gate.wg,7,0
The quick brown fox jumps over the lazy dog.,model.layers.10.mlp.deepspeed_moe.gate.wg,8,0
The quick brown fox jumps over the lazy dog.,model.layers.10.mlp.deepspeed_moe.gate.wg,9,0
The quick brown fox jumps over the lazy dog.,model.layers.12.mlp.deepspeed_moe.gate.wg,0,0
The quick brown fox jumps over the lazy dog.,model.layers.12.mlp.deepspeed_moe.gate.wg,1,0
The quick brown fox jumps over the lazy dog.,model.layers.12.mlp.deepspeed_moe.gate.wg,2,0
The quick brown fox jumps over the lazy dog.,model.layers.12.mlp.deepspeed_moe.gate.wg,3,0
The quick brown fox jumps over the lazy dog.,model.layers.12.mlp.deepspeed_moe.gate.wg,4,0
The quick brown fox jumps over the lazy dog.,model.layers.12.mlp.deepspeed_moe.gate.wg,5,0
The quick brown fox jumps over the lazy dog.,model.layers.12.mlp.deepspeed_moe.gate.wg,6,0
The quick brown fox jumps over the lazy dog.,model.layers.12.mlp.deepspeed_moe.gate.wg,7,0
The quick brown fox jumps over the lazy dog.,model.layers.12.mlp.deepspeed_moe.gate.wg,8,0
The quick brown fox jumps over the lazy dog.,model.layers.12.mlp.deepspeed_moe.gate.wg,9,0
